Model=0, Fold=0, Epoch=0, Valid ROC AUC=0.49895185185185187/0.49895185185185187
Model=0, Fold=0, Epoch=1, Valid ROC AUC=0.4988707561728395/0.49895185185185187
Model=0, Fold=0, Epoch=2, Valid ROC AUC=0.5010810956790124/0.5010810956790124
Model=0, Fold=0, Epoch=3, Valid ROC AUC=0.4962172453703704/0.5010810956790124
Model=0, Fold=0, Epoch=4, Valid ROC AUC=0.5014055169753087/0.5014055169753087
Model=0, Fold=0, Epoch=5, Valid ROC AUC=0.5207276234567901/0.5207276234567901
Model=0, Fold=0, Epoch=6, Valid ROC AUC=0.4976103780864198/0.5207276234567901
Model=0, Fold=0, Epoch=7, Valid ROC AUC=0.5156868441358025/0.5207276234567901
Model=0, Fold=0, Epoch=8, Valid ROC AUC=0.499360262345679/0.5207276234567901
Model=0, Fold=0, Epoch=9, Valid ROC AUC=0.5052787037037038/0.5207276234567901
Model=0, Fold=1, Epoch=0, Valid ROC AUC=0.7470365354938271/0.7470365354938271
Model=0, Fold=1, Epoch=1, Valid ROC AUC=0.8005055169753086/0.8005055169753086
Model=0, Fold=1, Epoch=2, Valid ROC AUC=0.8243282793209877/0.8243282793209877
Model=0, Fold=1, Epoch=3, Valid ROC AUC=0.8185625385802471/0.8243282793209877
Model=0, Fold=1, Epoch=4, Valid ROC AUC=0.8200024691358024/0.8243282793209877
Model=0, Fold=1, Epoch=5, Valid ROC AUC=0.842020987654321/0.842020987654321
Model=0, Fold=1, Epoch=6, Valid ROC AUC=0.8526626543209876/0.8526626543209876
Model=0, Fold=1, Epoch=7, Valid ROC AUC=0.8553366512345679/0.8553366512345679
Model=0, Fold=1, Epoch=8, Valid ROC AUC=0.8564697530864198/0.8564697530864198
Model=0, Fold=1, Epoch=9, Valid ROC AUC=0.8559810185185185/0.8564697530864198
Model=0, Fold=2, Epoch=0, Valid ROC AUC=0.7851925540123457/0.7851925540123457
Model=0, Fold=2, Epoch=1, Valid ROC AUC=0.8199924768518518/0.8199924768518518
Model=0, Fold=2, Epoch=2, Valid ROC AUC=0.8168910108024691/0.8199924768518518
Model=0, Fold=2, Epoch=3, Valid ROC AUC=0.8354567129629631/0.8354567129629631
Model=0, Fold=2, Epoch=4, Valid ROC AUC=0.8429554012345679/0.8429554012345679
Model=0, Fold=2, Epoch=5, Valid ROC AUC=0.8336383101851852/0.8429554012345679
Model=0, Fold=2, Epoch=6, Valid ROC AUC=0.8567381944444443/0.8567381944444443
Model=0, Fold=2, Epoch=7, Valid ROC AUC=0.857354475308642/0.857354475308642
Model=0, Fold=2, Epoch=8, Valid ROC AUC=0.861060763888889/0.861060763888889
Model=0, Fold=2, Epoch=9, Valid ROC AUC=0.8627466049382716/0.8627466049382716
Model=0, Fold=3, Epoch=0, Valid ROC AUC=0.7714522762345679/0.7714522762345679
Model=0, Fold=3, Epoch=1, Valid ROC AUC=0.7954165123456791/0.7954165123456791
Model=0, Fold=3, Epoch=2, Valid ROC AUC=0.8172043209876543/0.8172043209876543
Model=0, Fold=3, Epoch=3, Valid ROC AUC=0.8291560185185185/0.8291560185185185
Model=0, Fold=3, Epoch=4, Valid ROC AUC=0.8314335648148149/0.8314335648148149
Model=0, Fold=3, Epoch=5, Valid ROC AUC=0.8335072145061728/0.8335072145061728
Model=0, Fold=3, Epoch=6, Valid ROC AUC=0.8573339120370371/0.8573339120370371
Model=0, Fold=3, Epoch=7, Valid ROC AUC=0.8589528549382716/0.8589528549382716
Model=0, Fold=3, Epoch=8, Valid ROC AUC=0.8628539351851852/0.8628539351851852
Model=0, Fold=3, Epoch=9, Valid ROC AUC=0.8654195216049383/0.8654195216049383
Model=0, Fold=4, Epoch=0, Valid ROC AUC=0.7578411651234569/0.7578411651234569
Model=0, Fold=4, Epoch=1, Valid ROC AUC=0.8031057098765431/0.8031057098765431
Model=0, Fold=4, Epoch=2, Valid ROC AUC=0.8223391203703704/0.8223391203703704
Model=0, Fold=4, Epoch=3, Valid ROC AUC=0.8193546296296297/0.8223391203703704
Model=0, Fold=4, Epoch=4, Valid ROC AUC=0.8231426697530864/0.8231426697530864
Model=0, Fold=4, Epoch=5, Valid ROC AUC=0.8332692901234569/0.8332692901234569
Model=0, Fold=4, Epoch=6, Valid ROC AUC=0.8527563657407407/0.8527563657407407
Model=0, Fold=4, Epoch=7, Valid ROC AUC=0.8574531249999999/0.8574531249999999
Model=0, Fold=4, Epoch=8, Valid ROC AUC=0.8585432870370371/0.8585432870370371
Model=0, Fold=4, Epoch=9, Valid ROC AUC=0.8610581790123457/0.8610581790123457
Model=1, Fold=0, Epoch=0, Valid ROC AUC=0.49099949845679014/0.49099949845679014
Model=1, Fold=0, Epoch=1, Valid ROC AUC=0.49349047067901236/0.49349047067901236
Model=1, Fold=0, Epoch=2, Valid ROC AUC=0.5015709490740741/0.5015709490740741
