Model=efficientnet-b1, Fold=0, Epoch=0, Valid ROC AUC=0.8106622716049383/0.8106622716049383
Model=efficientnet-b1, Fold=0, Epoch=1, Valid ROC AUC=0.8074902962962963/0.8106622716049383
Model=efficientnet-b1, Fold=0, Epoch=2, Valid ROC AUC=0.8257202716049381/0.8257202716049381
Model=efficientnet-b1, Fold=0, Epoch=3, Valid ROC AUC=0.8288643456790123/0.8288643456790123
Model=efficientnet-b1, Fold=0, Epoch=4, Valid ROC AUC=0.8466271111111111/0.8466271111111111
Model=efficientnet-b1, Fold=1, Epoch=0, Valid ROC AUC=0.8065873086419754/0.8466271111111111
Model=efficientnet-b1, Fold=1, Epoch=1, Valid ROC AUC=0.804274938271605/0.8466271111111111
Model=efficientnet-b1, Fold=1, Epoch=2, Valid ROC AUC=0.8358483950617284/0.8466271111111111
Model=efficientnet-b1, Fold=1, Epoch=3, Valid ROC AUC=0.8461526419753087/0.8466271111111111
Model=efficientnet-b1, Fold=1, Epoch=4, Valid ROC AUC=0.8587872839506174/0.8587872839506174
Model=efficientnet-b1, Fold=2, Epoch=0, Valid ROC AUC=0.8239185432098767/0.8587872839506174
Model=efficientnet-b1, Fold=2, Epoch=1, Valid ROC AUC=0.8349601234567902/0.8587872839506174
Model=efficientnet-b1, Fold=2, Epoch=2, Valid ROC AUC=0.8320102962962963/0.8587872839506174
Model=efficientnet-b1, Fold=2, Epoch=3, Valid ROC AUC=0.8496164938271605/0.8587872839506174
Model=efficientnet-b1, Fold=2, Epoch=4, Valid ROC AUC=0.860559975308642/0.860559975308642
Model=efficientnet-b1, Fold=3, Epoch=0, Valid ROC AUC=0.8262011604938273/0.860559975308642
Model=efficientnet-b1, Fold=3, Epoch=1, Valid ROC AUC=0.817180938271605/0.860559975308642
Model=efficientnet-b1, Fold=3, Epoch=2, Valid ROC AUC=0.834113901234568/0.860559975308642
Model=efficientnet-b1, Fold=3, Epoch=3, Valid ROC AUC=0.8471046666666666/0.860559975308642
Model=efficientnet-b1, Fold=3, Epoch=4, Valid ROC AUC=0.8613042469135803/0.8613042469135803
Model=efficientnet-b3, Fold=0, Epoch=0, Valid ROC AUC=0.80285787654321/0.80285787654321
Model=efficientnet-b3, Fold=0, Epoch=1, Valid ROC AUC=0.8256113086419754/0.8256113086419754
Model=efficientnet-b3, Fold=0, Epoch=2, Valid ROC AUC=0.8388803209876543/0.8388803209876543
Model=efficientnet-b3, Fold=0, Epoch=3, Valid ROC AUC=0.8390817777777778/0.8390817777777778
Model=efficientnet-b3, Fold=0, Epoch=4, Valid ROC AUC=0.8545532345679012/0.8545532345679012
Model=efficientnet-b3, Fold=1, Epoch=0, Valid ROC AUC=0.7996582222222224/0.8545532345679012
Model=efficientnet-b3, Fold=1, Epoch=1, Valid ROC AUC=0.8031466172839506/0.8545532345679012
Model=efficientnet-b3, Fold=1, Epoch=2, Valid ROC AUC=0.8179434074074075/0.8545532345679012
Model=efficientnet-b3, Fold=1, Epoch=3, Valid ROC AUC=0.8421907901234568/0.8545532345679012
Model=efficientnet-b3, Fold=1, Epoch=4, Valid ROC AUC=0.8529624197530865/0.8545532345679012
Model=efficientnet-b3, Fold=2, Epoch=0, Valid ROC AUC=0.8104231111111111/0.8545532345679012
Model=efficientnet-b3, Fold=2, Epoch=1, Valid ROC AUC=0.8321461728395062/0.8545532345679012
Model=efficientnet-b3, Fold=2, Epoch=2, Valid ROC AUC=0.8478421234567901/0.8545532345679012
Model=efficientnet-b3, Fold=2, Epoch=3, Valid ROC AUC=0.8567065679012346/0.8567065679012346
Model=efficientnet-b3, Fold=2, Epoch=4, Valid ROC AUC=0.863399950617284/0.863399950617284
Model=efficientnet-b3, Fold=3, Epoch=0, Valid ROC AUC=0.8060624938271606/0.863399950617284
Model=efficientnet-b3, Fold=3, Epoch=1, Valid ROC AUC=0.8307424197530864/0.863399950617284
Model=efficientnet-b3, Fold=3, Epoch=2, Valid ROC AUC=0.8124342716049382/0.863399950617284
Model=efficientnet-b3, Fold=3, Epoch=3, Valid ROC AUC=0.8450860000000001/0.863399950617284
Model=efficientnet-b3, Fold=3, Epoch=4, Valid ROC AUC=0.8579388641975308/0.863399950617284
Model=efficientnet-b5, Fold=0, Epoch=0, Valid ROC AUC=0.806550938271605/0.806550938271605
Model=efficientnet-b5, Fold=0, Epoch=1, Valid ROC AUC=0.8338873086419752/0.8338873086419752
Model=efficientnet-b5, Fold=0, Epoch=2, Valid ROC AUC=0.8410365185185185/0.8410365185185185
Model=efficientnet-b5, Fold=0, Epoch=3, Valid ROC AUC=0.8452516543209877/0.8452516543209877
Model=efficientnet-b5, Fold=0, Epoch=4, Valid ROC AUC=0.8562941234567901/0.8562941234567901
Model=efficientnet-b5, Fold=1, Epoch=0, Valid ROC AUC=0.7587134320987654/0.8562941234567901
Model=efficientnet-b5, Fold=1, Epoch=1, Valid ROC AUC=0.8303244197530864/0.8562941234567901
Model=efficientnet-b5, Fold=1, Epoch=2, Valid ROC AUC=0.8412446419753087/0.8562941234567901
Model=efficientnet-b5, Fold=1, Epoch=3, Valid ROC AUC=0.8332590370370372/0.8562941234567901
Model=efficientnet-b5, Fold=1, Epoch=4, Valid ROC AUC=0.850075925925926/0.8562941234567901
Model=efficientnet-b5, Fold=2, Epoch=0, Valid ROC AUC=0.8036537283950618/0.8562941234567901
Model=efficientnet-b5, Fold=2, Epoch=1, Valid ROC AUC=0.8307747160493827/0.8562941234567901
Model=efficientnet-b5, Fold=2, Epoch=2, Valid ROC AUC=0.8491368888888888/0.8562941234567901
Model=efficientnet-b5, Fold=2, Epoch=3, Valid ROC AUC=0.8567876790123456/0.8567876790123456
Model=efficientnet-b5, Fold=2, Epoch=4, Valid ROC AUC=0.8649066172839506/0.8649066172839506
Model=efficientnet-b5, Fold=3, Epoch=0, Valid ROC AUC=0.8113152098765433/0.8649066172839506
Model=efficientnet-b5, Fold=3, Epoch=1, Valid ROC AUC=0.8374577283950618/0.8649066172839506
Model=efficientnet-b5, Fold=3, Epoch=2, Valid ROC AUC=0.8265277283950616/0.8649066172839506
Model=efficientnet-b5, Fold=3, Epoch=3, Valid ROC AUC=0.8473897037037037/0.8649066172839506
Model=efficientnet-b5, Fold=3, Epoch=4, Valid ROC AUC=0.8651776790123455/0.8651776790123455
Model=efficientnet-b1-augment, Fold=0, Epoch=0, Valid ROC AUC=0.770993925925926/0.770993925925926
Model=efficientnet-b1-augment, Fold=0, Epoch=1, Valid ROC AUC=0.810509012345679/0.810509012345679
Model=efficientnet-b1-augment, Fold=0, Epoch=2, Valid ROC AUC=0.8136924197530865/0.8136924197530865
Model=efficientnet-b1-augment, Fold=0, Epoch=3, Valid ROC AUC=0.8262606172839506/0.8262606172839506
Model=efficientnet-b1-augment, Fold=0, Epoch=4, Valid ROC AUC=0.8478903209876543/0.8478903209876543
Model=efficientnet-b1-augment, Fold=1, Epoch=0, Valid ROC AUC=0.7351622222222223/0.8478903209876543
Model=efficientnet-b1-augment, Fold=1, Epoch=1, Valid ROC AUC=0.8166147654320988/0.8478903209876543
Model=efficientnet-b1-augment, Fold=1, Epoch=2, Valid ROC AUC=0.8207998024691358/0.8478903209876543
Model=efficientnet-b1-augment, Fold=1, Epoch=3, Valid ROC AUC=0.8406649135802469/0.8478903209876543
Model=efficientnet-b1-augment, Fold=1, Epoch=4, Valid ROC AUC=0.8506457777777776/0.8506457777777776
Model=efficientnet-b1-augment, Fold=2, Epoch=0, Valid ROC AUC=0.7993795061728395/0.8506457777777776
Model=efficientnet-b1-augment, Fold=2, Epoch=1, Valid ROC AUC=0.8275273086419752/0.8506457777777776
Model=efficientnet-b1-augment, Fold=2, Epoch=2, Valid ROC AUC=0.8352221481481481/0.8506457777777776
Model=efficientnet-b1-augment, Fold=2, Epoch=3, Valid ROC AUC=0.835810098765432/0.8506457777777776
Model=efficientnet-b1-augment, Fold=2, Epoch=4, Valid ROC AUC=0.8570391604938272/0.8570391604938272
Model=efficientnet-b1-augment, Fold=3, Epoch=0, Valid ROC AUC=0.7999182962962963/0.8570391604938272
Model=efficientnet-b1-augment, Fold=3, Epoch=1, Valid ROC AUC=0.820547061728395/0.8570391604938272
Model=efficientnet-b1-augment, Fold=3, Epoch=2, Valid ROC AUC=0.8344979012345679/0.8570391604938272
Model=efficientnet-b1-augment, Fold=3, Epoch=3, Valid ROC AUC=0.8192264938271605/0.8570391604938272
Model=efficientnet-b1-augment, Fold=3, Epoch=4, Valid ROC AUC=0.8538020493827161/0.8570391604938272
Model=efficientnet-b3-augment, Fold=0, Epoch=0, Valid ROC AUC=0.7808316296296297/0.7808316296296297
Model=efficientnet-b3-augment, Fold=0, Epoch=1, Valid ROC AUC=0.8212361481481483/0.8212361481481483
Model=efficientnet-b3-augment, Fold=0, Epoch=2, Valid ROC AUC=0.8265960987654322/0.8265960987654322
Model=efficientnet-b3-augment, Fold=0, Epoch=3, Valid ROC AUC=0.8346437283950618/0.8346437283950618
Model=efficientnet-b3-augment, Fold=0, Epoch=4, Valid ROC AUC=0.8451373827160493/0.8451373827160493
Model=efficientnet-b3-augment, Fold=1, Epoch=0, Valid ROC AUC=0.7901585925925927/0.8451373827160493
Model=efficientnet-b3-augment, Fold=1, Epoch=1, Valid ROC AUC=0.8187290123456791/0.8451373827160493
Model=efficientnet-b3-augment, Fold=1, Epoch=2, Valid ROC AUC=0.8144948888888889/0.8451373827160493
Model=efficientnet-b3-augment, Fold=1, Epoch=3, Valid ROC AUC=0.8374615308641975/0.8451373827160493
Model=efficientnet-b3-augment, Fold=1, Epoch=4, Valid ROC AUC=0.8543753580246913/0.8543753580246913
Model=efficientnet-b3-augment, Fold=2, Epoch=0, Valid ROC AUC=0.8085370370370369/0.8543753580246913
Model=efficientnet-b3-augment, Fold=2, Epoch=1, Valid ROC AUC=0.8279619259259259/0.8543753580246913
Model=efficientnet-b3-augment, Fold=2, Epoch=2, Valid ROC AUC=0.840357111111111/0.8543753580246913
Model=efficientnet-b3-augment, Fold=2, Epoch=3, Valid ROC AUC=0.8485595308641976/0.8543753580246913
Model=efficientnet-b3-augment, Fold=2, Epoch=4, Valid ROC AUC=0.8607124197530864/0.8607124197530864
Model=efficientnet-b3-augment, Fold=3, Epoch=0, Valid ROC AUC=0.7806510617283952/0.8607124197530864
Model=efficientnet-b3-augment, Fold=3, Epoch=1, Valid ROC AUC=0.8269794567901234/0.8607124197530864
Model=efficientnet-b3-augment, Fold=3, Epoch=2, Valid ROC AUC=0.8443942469135803/0.8607124197530864
Model=efficientnet-b3-augment, Fold=3, Epoch=3, Valid ROC AUC=0.8431078271604938/0.8607124197530864
Model=efficientnet-b3-augment, Fold=3, Epoch=4, Valid ROC AUC=0.861215851851852/0.861215851851852
Model=efficientnet-b5-augment, Fold=0, Epoch=0, Valid ROC AUC=0.7772968148148147/0.7772968148148147
Model=efficientnet-b5-augment, Fold=0, Epoch=1, Valid ROC AUC=0.8151666666666666/0.8151666666666666
Model=efficientnet-b5-augment, Fold=0, Epoch=2, Valid ROC AUC=0.8256261728395062/0.8256261728395062
